,基本形,品詞,スコア
83,upside,名詞,1
84,upright,名詞,1
85,upright,形容詞,1
86,uppermost,副詞,1
87,uppermost,形容詞,1
88,uplift,動詞,1
89,uplift,名詞,1
90,upgrade,動詞,1
91,upgrade,名詞,1
92,upfront,形容詞,1
93,upbeat,名詞,1
94,upbeat,形容詞,1
95,untouched,形容詞,1
96,unselfish,形容詞,1
97,unlimited,形容詞,1
98,unity,名詞,1
99,unique,形容詞,1
100,unimpeachable,形容詞,1
101,unhurried,形容詞,1
102,unforgettable,形容詞,1
103,undoubtedly,副詞,1
104,undoubted,形容詞,1
105,understood,形容詞,1
106,understandable,形容詞,1
107,understand,動詞,1
108,uncommon,形容詞,1
109,unbroken,形容詞,1
110,unbound,形容詞,1
111,truthful,形容詞,1
112,truth,名詞,1
113,trustworthy,形容詞,1
114,trustworthiness,名詞,1
115,trust,動詞,1
116,trust,名詞,1
117,true,動詞,1
118,true,副詞,1
119,true,名詞,1
120,true,形容詞,1
121,trophy,名詞,1
122,triumphant,形容詞,1
123,triumphal,形容詞,1
124,triumph,動詞,1
125,triumph,名詞,1
126,tribute,名詞,1
127,tremendous,形容詞,1
128,treaty,名詞,1
129,treatise,名詞,1
130,treat,動詞,1
131,treat,名詞,1
132,treasure,動詞,1
133,treasure,名詞,1
134,travel,動詞,1
135,travel,名詞,1
136,tranquility,名詞,1
137,tranquil,形容詞,1
138,train,動詞,1
139,train,名詞,1
140,traditional,形容詞,1
141,tradition,名詞,1
142,topmost,形容詞,1
143,toleration,名詞,1
144,tolerate,動詞,1
145,tolerant,形容詞,1
146,tolerance,名詞,1
147,togetherness,名詞,1
148,tingle,動詞,1
149,tingle,名詞,1
150,thrive,動詞,1
151,thrill,動詞,1
152,thrill,名詞,1
153,thrifty,形容詞,1
154,thrift,名詞,1
155,thoughtfulness,名詞,1
156,thoughtful,形容詞,1
157,thorough,形容詞,1
158,therapeutic,形容詞,1
159,thankful,形容詞,1
160,thank,動詞,1
161,terrific,形容詞,1
162,tenderness,名詞,1
163,tenacity,名詞,1
164,tenacious,形容詞,1
165,tempt,動詞,1
166,temperate,形容詞,1
167,temperance,名詞,1
168,taste,動詞,1
169,taste,名詞,1
170,talented,形容詞,1
171,talent,名詞,1
172,tactics,名詞,1
173,tact,名詞,1
174,synthesis,名詞,1
175,sympathy,名詞,1
176,sympathize,動詞,1
177,sympathetic,形容詞,1
178,symmetry,名詞,1
179,symbolize,動詞,1
180,sworn,形容詞,1
181,swoon,動詞,1
182,swoon,名詞,1
183,swiftness,名詞,1
184,sweetness,名詞,1
185,sweetheart,名詞,1
186,sweetheart,形容詞,1
187,sweeten,動詞,1
188,sweet,副詞,1
189,sweet,名詞,1
190,sweet,形容詞,1
191,survivor,名詞,1
192,survive,動詞,1
193,survival,名詞,1
194,surpass,動詞,1
195,surmount,動詞,1
196,surmise,動詞,1
197,surmise,名詞,1
198,surge,動詞,1
199,surge,名詞,1
200,supreme,形容詞,1
201,supportive,形容詞,1
202,support,動詞,1
203,support,名詞,1
204,superlative,名詞,1
205,superlative,形容詞,1
206,superiority,名詞,1
207,superior,名詞,1
208,superior,形容詞,1
209,super,副詞,1
210,super,名詞,1
211,super,形容詞,1
212,sumptuous,形容詞,1
213,summit,動詞,1
214,summit,名詞,1
215,suitable,形容詞,1
216,suit,動詞,1
217,suit,名詞,1
218,sufficient,形容詞,1
219,suffice,動詞,1
220,successful,形容詞,1
221,success,名詞,1
222,succeed,動詞,1
223,subtle,形容詞,1
224,substantiate,動詞,1
225,subsistence,名詞,1
226,subsist,動詞,1
227,subsidy,名詞,1
228,subsidize,動詞,1
229,subscription,名詞,1
230,subscribe,動詞,1
231,sublime,動詞,1
232,sublime,形容詞,1
233,suave,形容詞,1
234,stylish,形容詞,1
235,sturdy,形容詞,1
236,stupendous,形容詞,1
237,studious,形容詞,1
238,stud,動詞,1
239,stud,名詞,1
240,strut,動詞,1
241,strut,名詞,1
242,straightforward,形容詞,1
243,straight,副詞,1
244,straight,名詞,1
245,straight,形容詞,1
246,stimulation,名詞,1
247,stimulate,動詞,1
248,steady,動詞,1
249,steady,副詞,1
250,steady,名詞,1
251,steady,形容詞,1
252,steadiness,名詞,1
253,steadfastness,名詞,1
254,steadfast,形容詞,1
255,staunchness,名詞,1
256,staunch,動詞,1
257,staunch,形容詞,1
258,statuesque,形容詞,1
259,stately,形容詞,1
260,staple,動詞,1
261,staple,名詞,1
262,staple,形容詞,1
263,standardize,動詞,1
264,stand,動詞,1
265,stand,名詞,1
266,stable,動詞,1
267,stable,名詞,1
268,stable,形容詞,1
269,stabilize,動詞,1
270,stability,名詞,1
271,squarely,副詞,1
272,sprightly,形容詞,1
273,spotless,形容詞,1
274,splendor,名詞,1
275,splendid,形容詞,1
276,speedily,副詞,1
277,spectacular,名詞,1
278,spectacular,形容詞,1
279,special,名詞,1
280,special,形容詞,1
281,sparkle,動詞,1
282,sparkle,名詞,1
283,spare,動詞,1
284,spare,名詞,1
285,spare,形容詞,1
286,soundness,名詞,1
287,sound,動詞,1
288,sound,副詞,1
289,sound,名詞,1
290,sound,形容詞,1
291,sought,形容詞,1
292,sophisticated,形容詞,1
293,soothe,動詞,1
294,solution,名詞,1
295,solace,動詞,1
296,solace,名詞,1
297,softness,名詞,1
298,sociable,名詞,1
299,sociable,形容詞,1
300,sober,動詞,1
301,sober,形容詞,1
302,smitten,形容詞,1
303,smile,動詞,1
304,smile,名詞,1
305,smart,動詞,1
306,smart,名詞,1
307,smart,形容詞,1
308,sleek,動詞,1
309,sleek,形容詞,1
310,skillful,形容詞,1
311,skill,名詞,1
312,sincerity,名詞,1
313,sincere,形容詞,1
314,simplify,動詞,1
315,simplicity,名詞,1
316,signify,動詞,1
317,significant,形容詞,1
318,significance,名詞,1
319,shrewdness,名詞,1
320,shrewd,形容詞,1
321,shiny,形容詞,1
322,shield,動詞,1
323,shield,名詞,1
324,shelter,動詞,1
325,shelter,名詞,1
326,share,動詞,1
327,share,名詞,1
328,settle,動詞,1
329,settle,名詞,1
330,seriousness,名詞,1
331,serious,形容詞,1
332,serene,形容詞,1
333,sensitivity,名詞,1
334,sensitive,形容詞,1
335,sensible,形容詞,1
336,sense,動詞,1
337,sense,名詞,1
338,sensational,形容詞,1
339,semblance,名詞,1
340,self-respect,名詞,1
341,self-contained,形容詞,1
342,selective,形容詞,1
343,security,名詞,1
344,secure,動詞,1
345,secure,形容詞,1
346,scrupulous,形容詞,1
347,scruples,名詞,1
348,scamper,動詞,1
349,scamper,名詞,1
350,savvy,動詞,1
351,savvy,名詞,1
352,savor,動詞,1
353,savor,名詞,1
354,savings,名詞,1
355,save,動詞,1
356,save,名詞,1
357,satisfy,動詞,1
358,satisfactory,形容詞,1
359,satisfactorily,副詞,1
360,satisfaction,名詞,1
361,sanity,名詞,1
362,sanitary,形容詞,1
363,sanguine,形容詞,1
364,sane,形容詞,1
365,sanctuary,名詞,1
366,sanctify,動詞,1
367,salvation,名詞,1
368,salute,動詞,1
369,salute,名詞,1
370,salutation,名詞,1
371,salutary,形容詞,1
372,saint,動詞,1
373,saint,名詞,1
374,sage,名詞,1
375,sage,形容詞,1
376,sagacity,名詞,1
377,safety,名詞,1
378,safeguard,動詞,1
379,safeguard,名詞,1
380,safe,名詞,1
381,safe,形容詞,1
382,sacred,形容詞,1
383,rouse,動詞,1
384,round,動詞,1
385,round,副詞,1
386,round,名詞,1
387,round,形容詞,1
388,rosy,形容詞,1
389,romanticize,動詞,1
390,romantic,名詞,1
391,romantic,形容詞,1
392,romance,動詞,1
393,romance,名詞,1
394,romance,形容詞,1
395,robust,形容詞,1
396,ripen,動詞,1
397,ripe,形容詞,1
398,rightful,形容詞,1
399,righteousness,名詞,1
400,righteous,形容詞,1
401,right,動詞,1
402,right,副詞,1
403,right,名詞,1
404,right,形容詞,1
405,richness,名詞,1
406,riches,名詞,1
407,rich,形容詞,1
408,reward,動詞,1
409,reward,名詞,1
410,revive,動詞,1
411,revival,名詞,1
412,revitalize,動詞,1
413,reverently,副詞,1
414,reverent,形容詞,1
415,reverence,動詞,1
416,reverence,名詞,1
417,revere,動詞,1
418,revere,名詞,1
419,revelation,名詞,1
420,revel,動詞,1
421,revel,名詞,1
422,reunite,動詞,1
423,reunion,名詞,1
424,return,動詞,1
425,return,名詞,1
426,resurrect,動詞,1
427,restore,動詞,1
428,restoration,名詞,1
429,restful,形容詞,1
430,responsive,形容詞,1
431,responsible,形容詞,1
432,responsibility,名詞,1
433,resplendent,形容詞,1
434,respite,動詞,1
435,respite,名詞,1
436,respectful,形容詞,1
437,respectable,形容詞,1
438,respect,動詞,1
439,respect,名詞,1
440,resourcefulness,名詞,1
441,resourceful,形容詞,1
442,resound,動詞,1
443,resolved,形容詞,1
444,resolve,動詞,1
445,resolve,名詞,1
446,resolute,形容詞,1
447,rescue,動詞,1
448,rescue,名詞,1
449,reputable,形容詞,1
450,repose,動詞,1
451,repose,名詞,1
452,repentance,名詞,1
453,repent,動詞,1
454,reparation,名詞,1
455,repair,動詞,1
456,repair,名詞,1
457,renown,名詞,1
458,renovation,名詞,1
459,renovate,動詞,1
460,renewal,名詞,1
461,renaissance,名詞,1
462,remodel,動詞,1
463,remedy,動詞,1
464,remedy,名詞,1
465,remarkably,副詞,1
466,remarkable,形容詞,1
467,relish,動詞,1
468,relish,名詞,1
469,religious,名詞,1
470,religious,形容詞,1
471,relieve,動詞,1
472,relief,名詞,1
473,reliable,形容詞,1
474,reliability,名詞,1
475,relevant,形容詞,1
476,relevancy,名詞,1
477,relevance,名詞,1
478,relaxation,名詞,1
479,rejoice,動詞,1
480,reinstate,動詞,1
481,reinforcement,名詞,1
482,rehabilitation,名詞,1
483,regard,動詞,1
484,regard,名詞,1
485,regal,形容詞,1
486,refuge,名詞,1
487,refinement,名詞,1
488,refine,動詞,1
489,reestablish,動詞,1
490,redemption,名詞,1
491,redeem,動詞,1
492,recreation,名詞,1
493,reconciliation,名詞,1
494,reconcile,動詞,1
495,recompense,動詞,1
496,recompense,名詞,1
497,recline,動詞,1
498,reclaim,動詞,1
499,receptive,形容詞,1
500,reassure,動詞,1
501,reassurance,名詞,1
502,reasonable,形容詞,1
503,reap,動詞,1
504,realistically,副詞,1
505,realistic,形容詞,1
506,real,副詞,1
507,real,名詞,1
508,real,形容詞,1
509,readily,副詞,1
510,rave,動詞,1
511,rave,名詞,1
512,rational,形容詞,1
513,rapture,名詞,1
514,rapt,形容詞,1
515,rapport,名詞,1
516,rally,動詞,1
517,rally,名詞,1
518,radiate,動詞,1
519,radiant,形容詞,1
520,radiance,名詞,1
521,quicken,動詞,1
522,quench,動詞,1
523,quality,名詞,1
524,quality,形容詞,1
525,qualify,動詞,1
526,quaint,形容詞,1
527,purr,動詞,1
528,purr,名詞,1
529,purposeful,形容詞,1
530,purity,名詞,1
531,purify,動詞,1
532,purification,名詞,1
533,pure,形容詞,1
534,punctual,形容詞,1
535,prudent,形容詞,1
536,prudence,名詞,1
537,prowess,名詞,1
538,providence,名詞,1
539,provide,動詞,1
540,proud,形容詞,1
541,protector,名詞,1
542,protective,形容詞,1
543,protection,名詞,1
544,protect,動詞,1
545,prosperous,形容詞,1
546,prosperity,名詞,1
547,prosper,動詞,1
548,prosecute,動詞,1
549,propriety,名詞,1
550,proprietary,名詞,1
551,proprietary,形容詞,1
552,propitious,形容詞,1
553,proper,形容詞,1
554,promptly,副詞,1
555,prompt,動詞,1
556,prompt,名詞,1
557,prompt,形容詞,1
558,promise,動詞,1
559,promise,名詞,1
560,prominent,形容詞,1
561,prominence,名詞,1
562,prolific,形容詞,1
563,progressive,名詞,1
564,progressive,形容詞,1
565,progress,動詞,1
566,progress,名詞,1
567,profound,形容詞,1
568,profitable,形容詞,1
569,profit,動詞,1
570,profit,名詞,1
571,proficient,形容詞,1
572,proffer,動詞,1
573,proffer,名詞,1
574,profess,動詞,1
575,productivity,名詞,1
576,productive,形容詞,1
577,prodigy,名詞,1
578,prodigious,形容詞,1
579,proactive,形容詞,1
580,pro,副詞,1
581,pro,名詞,1
582,pro,形容詞,1
583,prize,動詞,1
584,prize,名詞,1
585,prize,形容詞,1
586,privy,名詞,1
587,privy,形容詞,1
588,privileged,形容詞,1
589,privacy,名詞,1
590,principle,名詞,1
591,principal,名詞,1
592,principal,形容詞,1
593,prime,動詞,1
594,prime,名詞,1
595,prime,形容詞,1
596,primarily,副詞,1
597,pride,動詞,1
598,pride,名詞,1
599,priceless,形容詞,1
600,pretty,副詞,1
601,pretty,形容詞,1
602,prettily,副詞,1
603,prestige,名詞,1
604,preparatory,形容詞,1
605,premium,名詞,1
606,premium,形容詞,1
607,premise,動詞,1
608,premise,名詞,1
609,premier,動詞,1
610,premier,名詞,1
611,premier,形容詞,1
612,preference,名詞,1
613,preeminent,形容詞,1
614,precision,名詞,1
615,precise,形容詞,1
616,precious,副詞,1
617,precious,形容詞,1
618,precept,名詞,1
619,precedent,名詞,1
620,precedent,形容詞,1
621,precaution,名詞,1
622,prance,動詞,1
623,prance,名詞,1
624,praise,動詞,1
625,praise,名詞,1
626,practical,形容詞,1
627,practicable,形容詞,1
628,potent,形容詞,1
629,potency,名詞,1
630,posterity,名詞,1
631,positivity,名詞,1
632,positiveness,名詞,1
633,positive,名詞,1
634,positive,形容詞,1
635,portable,名詞,1
636,portable,形容詞,1
637,populous,形容詞,1
638,popularity,名詞,1
639,popular,形容詞,1
640,pomp,名詞,1
641,politeness,名詞,1
642,polite,形容詞,1
643,polish,動詞,1
644,polish,名詞,1
645,polish,形容詞,1
646,poise,動詞,1
647,poise,名詞,1
648,poignant,形容詞,1
649,poetic,形容詞,1
650,plenty,副詞,1
651,plenty,名詞,1
652,plentiful,形容詞,1
653,pledge,動詞,1
654,pledge,名詞,1
655,pleasure,名詞,1
656,pleasurable,形容詞,1
657,pleased,形容詞,1
658,please,動詞,1
659,please,副詞,1
660,pleasantry,名詞,1
661,pleasant,形容詞,1
662,plaything,名詞,1
663,playmate,名詞,1
664,playful,形容詞,1
665,plausibility,名詞,1
666,plain,動詞,1
667,plain,副詞,1
668,plain,名詞,1
669,plain,形容詞,1
670,pious,形容詞,1
671,pinnacle,動詞,1
672,pinnacle,名詞,1
673,piety,名詞,1
674,picturesque,形容詞,1
675,pertinent,形容詞,1
676,persuasive,形容詞,1
677,persevere,動詞,1
678,perseverance,名詞,1
679,permit,動詞,1
680,permit,名詞,1
681,permission,名詞,1
682,perfume,動詞,1
683,perfume,名詞,1
684,perfectionist,名詞,1
685,perfectionism,名詞,1
686,perfection,名詞,1
687,perfect,動詞,1
688,perfect,名詞,1
689,perfect,形容詞,1
690,peerless,形容詞,1
691,peaceful,形容詞,1
692,peaceable,形容詞,1
693,peace,名詞,1
694,pay,動詞,1
695,pay,名詞,1
696,patronage,動詞,1
697,patronage,名詞,1
698,patron,名詞,1
699,patriotic,形容詞,1
700,patriot,名詞,1
701,patient,名詞,1
702,patient,形容詞,1
703,patience,名詞,1
704,passionate,形容詞,1
705,partnership,名詞,1
706,partner,動詞,1
707,partner,名詞,1
708,pardon,動詞,1
709,pardon,名詞,1
710,paramount,形容詞,1
711,paradise,名詞,1
712,pamper,動詞,1
713,palatial,形容詞,1
714,palatable,形容詞,1
715,painstaking,形容詞,1
716,overjoyed,形容詞,1
717,overcome,動詞,1
718,overcome,形容詞,1
719,outwit,動詞,1
720,outstanding,形容詞,1
721,outset,名詞,1
722,outrun,動詞,1
723,outright,副詞,1
724,outright,形容詞,1
725,outlive,動詞,1
726,outgoing,形容詞,1
727,originality,名詞,1
728,organize,動詞,1
729,optional,形容詞,1
730,optimistic,形容詞,1
731,optimism,名詞,1
732,optimal,形容詞,1
733,opportunity,名詞,1
734,opportune,形容詞,1
735,open,動詞,1
736,open,名詞,1
737,open,形容詞,1
738,onset,名詞,1
739,offset,動詞,1
740,offset,名詞,1
741,offer,動詞,1
742,offer,名詞,1
743,obtainable,形容詞,1
744,obtain,動詞,1
745,oblige,動詞,1
746,objective,名詞,1
747,objective,形容詞,1
748,obey,動詞,1
749,obedient,形容詞,1
750,obedience,名詞,1
751,oasis,名詞,1
752,nutrient,名詞,1
753,nutrient,形容詞,1
754,nurture,動詞,1
755,nurture,名詞,1
756,nurse,動詞,1
757,nurse,名詞,1
758,novelty,名詞,1
759,nourishment,名詞,1
760,nourish,動詞,1
761,notoriety,名詞,1
762,notable,名詞,1
763,notable,形容詞,1
764,normal,名詞,1
765,normal,形容詞,1
766,nonviolent,形容詞,1
767,nonviolence,名詞,1
768,nominate,動詞,1
769,noiseless,形容詞,1
770,nobleman,名詞,1
771,noble,名詞,1
772,noble,形容詞,1
773,nobility,名詞,1
774,nimble,形容詞,1
775,niche,名詞,1
776,nice,名詞,1
777,nice,形容詞,1
778,negotiate,動詞,1
779,necessarily,副詞,1
780,neat,形容詞,1
781,navigable,形容詞,1
782,natural,名詞,1
783,natural,形容詞,1
784,myriad,名詞,1
785,myriad,形容詞,1
786,mutual,形容詞,1
787,multitude,名詞,1
788,motive,名詞,1
789,motive,形容詞,1
790,motivation,名詞,1
791,motivated,形容詞,1
792,motivate,動詞,1
793,morality,名詞,1
794,moralistic,形容詞,1
795,morale,名詞,1
796,moral,名詞,1
797,moral,形容詞,1
798,monumental,形容詞,1
799,momentous,形容詞,1
800,modesty,名詞,1
801,modest,形容詞,1
802,modernity,名詞,1
803,moderation,名詞,1
804,moderate,動詞,1
805,moderate,名詞,1
806,moderate,形容詞,1
807,mobilize,動詞,1
808,mobility,名詞,1
809,mirth,名詞,1
810,miraculous,形容詞,1
811,miracle,名詞,1
812,mint,動詞,1
813,mint,名詞,1
814,mint,形容詞,1
815,minister,動詞,1
816,minister,名詞,1
817,mindful,形容詞,1
818,mild,形容詞,1
819,mighty,形容詞,1
820,meticulous,形容詞,1
821,mesh,動詞,1
822,mesh,名詞,1
823,merry,形容詞,1
824,merriment,名詞,1
825,merrily,副詞,1
826,meritorious,形容詞,1
827,merit,動詞,1
828,merit,名詞,1
829,mercy,名詞,1
830,merciful,形容詞,1
831,mentor,動詞,1
832,mentor,名詞,1
833,mend,動詞,1
834,mend,名詞,1
835,memorable,形容詞,1
836,melody,名詞,1
837,mellow,動詞,1
838,mellow,副詞,1
839,mellow,形容詞,1
840,meet,動詞,1
841,meet,名詞,1
842,meet,形容詞,1
843,meditation,名詞,1
844,mediate,動詞,1
845,mediate,形容詞,1
846,measurable,形容詞,1
847,meaningful,形容詞,1
848,maximize,動詞,1
849,maturity,名詞,1
850,mature,動詞,1
851,mature,形容詞,1
852,mate,動詞,1
853,mate,名詞,1
854,matchless,形容詞,1
855,mastery,名詞,1
856,masterful,形容詞,1
857,marvelous,形容詞,1
858,marvel,動詞,1
859,marvel,名詞,1
860,marry,動詞,1
861,marriage,名詞,1
862,marital,形容詞,1
863,manly,副詞,1
864,manly,形容詞,1
865,manageable,形容詞,1
866,major,動詞,1
867,major,名詞,1
868,major,形容詞,1
869,majesty,名詞,1
870,majestic,形容詞,1
871,main,名詞,1
872,main,形容詞,1
873,magnificent,形容詞,1
874,magnificence,名詞,1
875,magnetic,形容詞,1
876,magical,形容詞,1
877,lyrical,形容詞,1
878,lyric,動詞,1
879,lyric,名詞,1
880,lyric,形容詞,1
881,luxury,名詞,1
882,luxury,形容詞,1
883,luxurious,形容詞,1
884,luxuriant,形容詞,1
885,lustrous,形容詞,1
886,luster,名詞,1
887,lust,動詞,1
888,lust,名詞,1
889,luminous,形容詞,1
890,lucrative,形容詞,1
891,lucky,形容詞,1
892,luckily,副詞,1
893,luck,名詞,1
894,lucid,形容詞,1
895,loyalty,名詞,1
896,loyal,形容詞,1
897,lover,名詞,1
898,lovely,名詞,1
899,lovely,形容詞,1
900,loveliness,名詞,1
901,love,動詞,1
902,love,名詞,1
903,longevity,名詞,1
904,logical,形容詞,1
905,logic,名詞,1
906,lively,形容詞,1
907,live,動詞,1
908,live,副詞,1
909,live,形容詞,1
910,like,動詞,1
911,like,形容詞,1
912,likable,形容詞,1
913,light,動詞,1
914,light,副詞,1
915,light,名詞,1
916,light,形容詞,1
917,lifelong,形容詞,1
918,liberty,名詞,1
919,liberate,動詞,1
920,liberalism,名詞,1
921,liberal,名詞,1
922,liberal,形容詞,1
923,leisure,名詞,1
924,legitimate,動詞,1
925,legitimate,形容詞,1
926,legitimacy,名詞,1
927,legal,形容詞,1
928,learner,名詞,1
929,learn,動詞,1
930,lead,動詞,1
931,lead,名詞,1
932,lawful,形容詞,1
933,law,名詞,1
934,lavish,動詞,1
935,lavish,形容詞,1
936,laughter,名詞,1
937,laudable,形容詞,1
938,knowledge,名詞,1
939,know,動詞,1
940,kiss,動詞,1
941,kiss,名詞,1
942,kindness,名詞,1
943,kind,名詞,1
944,kind,形容詞,1
945,kid,動詞,1
946,kid,名詞,1
947,keen,動詞,1
948,keen,名詞,1
949,keen,形容詞,1
950,justify,動詞,1
951,justification,名詞,1
952,justifiably,副詞,1
953,justice,名詞,1
954,just,副詞,1
955,just,形容詞,1
956,jubilee,名詞,1
957,jubilant,形容詞,1
958,joyful,形容詞,1
959,joy,動詞,1
960,joy,名詞,1
961,jolly,動詞,1
962,jolly,副詞,1
963,jolly,名詞,1
964,jolly,形容詞,1
965,joke,動詞,1
966,joke,名詞,1
967,jointly,副詞,1
968,join,動詞,1
969,join,名詞,1
970,jest,動詞,1
971,jest,名詞,1
972,irresistible,形容詞,1
973,invulnerable,形容詞,1
974,invite,動詞,1
975,invite,名詞,1
976,invitation,名詞,1
977,invincible,形容詞,1
978,inventor,名詞,1
979,invaluable,形容詞,1
980,intrigue,動詞,1
981,intrigue,名詞,1
982,intricate,形容詞,1
983,intimate,動詞,1
984,intimate,名詞,1
985,intimate,形容詞,1
986,intimacy,名詞,1
987,interpose,動詞,1
988,interested,形容詞,1
989,interest,動詞,1
990,interest,名詞,1
991,intercourse,名詞,1
992,intercede,動詞,1
993,intelligible,形容詞,1
994,intelligent,形容詞,1
995,intelligence,名詞,1
996,intellectual,名詞,1
997,intellectual,形容詞,1
998,intellect,名詞,1
999,integrity,名詞,1
1000,instinctive,形容詞,1
1001,inspire,動詞,1
1002,inspirational,形容詞,1
1003,inspiration,名詞,1
1004,insistent,形容詞,1
1005,insight,名詞,1
1006,inseparable,形容詞,1
1007,inquisitive,形容詞,1
1008,innovative,形容詞,1
1009,innovate,動詞,1
1010,innocent,名詞,1
1011,innocent,形容詞,1
1012,innocence,名詞,1
1013,inherit,動詞,1
1014,ingenuity,名詞,1
1015,ingenious,形容詞,1
1016,inform,動詞,1
1017,inference,名詞,1
1018,infer,動詞,1
1019,infallible,形容詞,1
1020,infallibility,名詞,1
1021,inexpensive,形容詞,1
1022,industrious,形容詞,1
1023,indulgence,名詞,1
1024,indomitable,形容詞,1
1025,individuality,名詞,1
1026,indispensable,形容詞,1
1027,indispensability,名詞,1
1028,indicative,名詞,1
1029,indicative,形容詞,1
1030,indescribable,形容詞,1
1031,independent,名詞,1
1032,independent,形容詞,1
1033,independence,名詞,1
1034,inauguration,名詞,1
1035,inaugurate,動詞,1
1036,impunity,名詞,1
1037,improvement,名詞,1
1038,improve,動詞,1
1039,impressive,形容詞,1
1040,impress,動詞,1
1041,impress,名詞,1
1042,important,形容詞,1
1043,importance,名詞,1
1044,impetus,名詞,1
1045,impervious,形容詞,1
1046,imperative,名詞,1
1047,imperative,形容詞,1
1048,impartiality,名詞,1
1049,impartial,形容詞,1
1050,immortal,名詞,1
1051,immortal,形容詞,1
1052,immaculate,形容詞,1
1053,imaginative,形容詞,1
1054,imagination,名詞,1
1055,illustrious,形容詞,1
1056,illuminate,動詞,1
1057,idolize,動詞,1
1058,idol,名詞,1
1059,idealism,名詞,1
1060,ideal,名詞,1
1061,ideal,形容詞,1
1062,hygiene,名詞,1
1063,humorous,形容詞,1
1064,humor,動詞,1
1065,humor,名詞,1
1066,humility,名詞,1
1067,humble,動詞,1
1068,humble,形容詞,1
1069,humanity,名詞,1
1070,humanitarian,名詞,1
1071,humanitarian,形容詞,1
1072,human,名詞,1
1073,human,形容詞,1
1074,hug,動詞,1
1075,hug,名詞,1
1076,hospitable,形容詞,1
1077,hopeful,名詞,1
1078,hopeful,形容詞,1
1079,hope,動詞,1
1080,hope,名詞,1
1081,honorable,形容詞,1
1082,honor,動詞,1
1083,honor,名詞,1
1084,honeymoon,動詞,1
1085,honeymoon,名詞,1
1086,honest,形容詞,1
1087,home,動詞,1
1088,home,副詞,1
1089,home,名詞,1
1090,home,形容詞,1
1091,homage,名詞,1
1092,holy,名詞,1
1093,holy,形容詞,1
1094,hilarious,形容詞,1
1095,highlight,動詞,1
1096,highlight,名詞,1
1097,heroism,名詞,1
1098,heroine,名詞,1
1099,heroic,名詞,1
1100,heroic,形容詞,1
1101,hero,名詞,1
1102,helpful,形容詞,1
1103,heavenly,形容詞,1
1104,heaven,名詞,1
1105,heartily,副詞,1
1106,heart,名詞,1
1107,healthy,形容詞,1
1108,healthful,形容詞,1
1109,health,名詞,1
1110,heal,動詞,1
1111,haven,名詞,1
1112,harness,動詞,1
1113,harness,名詞,1
1114,harmony,名詞,1
1115,harmonize,動詞,1
1116,harmonious,形容詞,1
1117,harmless,形容詞,1
1118,hardy,名詞,1
1119,hardy,形容詞,1
1120,happy,形容詞,1
1121,happiness,名詞,1
1122,handy,名詞,1
1123,handy,形容詞,1
1124,handsome,形容詞,1
1125,hallowed,形容詞,1
1126,gusto,名詞,1
1127,guide,動詞,1
1128,guide,名詞,1
1129,guardian,名詞,1
1130,guardian,形容詞,1
1131,guarantee,動詞,1
1132,guarantee,名詞,1
1133,groom,動詞,1
1134,groom,名詞,1
1135,greet,動詞,1
1136,greatness,名詞,1
1137,great,形容詞,1
1138,gratitude,名詞,1
